country_label,primary_language,category,name_local,name_english,official_website,confidence,statutory_role,notes,tool_name,tool_category,use_case,evidence_strength,source_type,source_title,source_date,source_link,exact_snippet_or_quote,why_it_supports_the_claim,notes
Brazil,Portuguese,TSO,Operador Nacional do Sistema Elétrico,National Electric System Operator (ONS),https://www.ons.org.br/,HIGH,National system operator (dispatch and transmission coordination),,NEWAVE,production_cost_uc,Medium/long-term operation planning & price formation (Brazil SIN).,HIGH,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Os modelos Newave, Decomp e Dessem são utilizados … e operados pelo ONS e CCEE no planejamento e programação da operação e na formação de preços.",The ONS states these named models are used and operated by ONS/CCEE for operation planning/programming and price formation.,
Brazil,Portuguese,TSO,Operador Nacional do Sistema Elétrico,National Electric System Operator (ONS),https://www.ons.org.br/,HIGH,National system operator (dispatch and transmission coordination),,DECOMP,production_cost_uc,Short-term operation planning/programming & price formation (Brazil SIN).,HIGH,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Os modelos Newave, Decomp e Dessem são utilizados … e operados pelo ONS e CCEE no planejamento e programação da operação e na formação de preços.",The ONS states these named models are used and operated by ONS/CCEE for operation planning/programming and price formation.,
Brazil,Portuguese,TSO,Operador Nacional do Sistema Elétrico,National Electric System Operator (ONS),https://www.ons.org.br/,HIGH,National system operator (dispatch and transmission coordination),,DESSEM,production_cost_uc,Very short-term dispatch programming & price formation (Brazil SIN).,HIGH,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Os modelos Newave, Decomp e Dessem são utilizados … e operados pelo ONS e CCEE no planejamento e programação da operação e na formação de preços.",The ONS states these named models are used and operated by ONS/CCEE for operation planning/programming and price formation.,
Brazil,Portuguese,TSO,Operador Nacional do Sistema Elétrico,National Electric System Operator (ONS),https://www.ons.org.br/,HIGH,National system operator (dispatch and transmission coordination),,SMAP/ONS,forecasting,Hydrological inflow forecasting used in operational planning/programming.,MED,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Modelos SMAP/ONS, PREVIVAZ e GEVazp — utilizados nos procedimentos de planejamento e programação da operação.",ONS lists these named models in the context of operational planning/programming procedures.,
Brazil,Portuguese,TSO,Operador Nacional do Sistema Elétrico,National Electric System Operator (ONS),https://www.ons.org.br/,HIGH,National system operator (dispatch and transmission coordination),,PREVIVAZ,forecasting,Hydrology/affluent inflow scenario modelling used in operational planning.,MED,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Modelos SMAP/ONS, PREVIVAZ e GEVazp — utilizados nos procedimentos de planejamento e programação da operação.",ONS lists these named models in the context of operational planning/programming procedures.,
Brazil,Portuguese,TSO,Operador Nacional do Sistema Elétrico,National Electric System Operator (ONS),https://www.ons.org.br/,HIGH,National system operator (dispatch and transmission coordination),,GEVazp,forecasting,Hydrology/affluent inflow scenario modelling used in operational planning.,MED,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Modelos SMAP/ONS, PREVIVAZ e GEVazp — utilizados nos procedimentos de planejamento e programação da operação.",ONS lists these named models in the context of operational planning/programming procedures.,
Brazil,Portuguese,ElectricityRegulator,Agência Nacional de Energia Elétrica,National Electric Energy Agency (ANEEL),https://www.aneel.gov.br/,HIGH,National electricity regulator,,UNKNOWN,,,LOW,other,,,,,No retrievable evidence found for named tools/software.,Checked: official web + reports/tenders/job posts.
Brazil,Portuguese,EnergyMinistry,Ministério de Minas e Energia,Ministry of Mines and Energy (MME),https://www.gov.br/mme/,HIGH,National energy ministry,,UNKNOWN,,,LOW,other,,,,,No retrievable evidence found for named tools/software.,Checked: official web + reports/tenders/job posts.
Brazil,Portuguese,MarketOperator,Câmara de Comercialização de Energia Elétrica,Electric Energy Trading Chamber (CCEE),https://www.ccee.org.br/,HIGH,Wholesale electricity market clearing and trading chamber,,NEWAVE,market_simulation,Operation planning inputs to price formation (PLD) alongside ONS.,HIGH,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Os modelos Newave, Decomp e Dessem são utilizados … e operados pelo ONS e CCEE no planejamento e programação da operação e na formação de preços.",The ONS states these named models are used and operated by ONS/CCEE for operation planning/programming and price formation.,
Brazil,Portuguese,MarketOperator,Câmara de Comercialização de Energia Elétrica,Electric Energy Trading Chamber (CCEE),https://www.ccee.org.br/,HIGH,Wholesale electricity market clearing and trading chamber,,DECOMP,market_simulation,Operation planning inputs to price formation (PLD) alongside ONS.,HIGH,official_report,ONS: Curso Modelos de Planejamento e Programação da Operação – Modelos DECOMP e DESSEM,,https://www.ons.org.br/Paginas/Noticias/2024/20240909-curso-modelos-de-planejamento-e-programacao.aspx,"Os modelos Newave, Decomp e Dessem são utilizados … e operados pelo ONS e CCEE no planejamento e programação da operação e na formação de preços.",The ONS states these named models are used and operated by ONS/CCEE for operation planning/programming and price formation.,
